Problem_Name,Id,Parent_Id,Text,Date,Up_Votes,Username,Parent_Up_Votes,Parent_Date,Parent_Text
"root-equals-sum-of-children
",40,39,"Wow thanks, i just added .val to the right and left as you said, and then it worked lol","Sep 25, 2023",1,Mudi26,12,"Sep 06, 2023","Important Information:
I'm using Ruby but hopefully this helps others too.This feels like a pretty mean trick for a beginner question."
"two-sum
",522,521,"Arrays begin from '0'. In this case array[0] = 0 and array[3]=0 ( [0,1,2,3] ->[0,4,3,0] ). So the answer is 0+0 = 0.
You are interpreting it wrong.","Mar 06, 2024",0,Vamonosraza,0,"Mar 05, 2024","nums = [0,4,3,0]
target = 0
Output: [0,3]
Could someone explain how the output of [0,4,3,0] is [0, 3].
sum of nums[0] + nums[1] + nums[2] + nums[3] is 7. but the target is 0."
"maximum-multiplication-score
",64,63,Check the Solutions tab.,"Sep 16, 2024",0,radiosilence,0,"Sep 15, 2024",I'm a newbie here! can someone explain how to solve it???
"flatten-nested-list-iterator
",99,96,Keep in mind that the follow-up question during interviews is to implement this NestedIterator without copying all the contents of nestedList.,"Oct 20, 2023",0,aitachii,-5,"Oct 20, 2023",First time I say this but this one should be definitely an easy one.
"maximize-score-of-numbers-in-ranges
",31,30,definitely a medium-hard,"Sep 08, 2024",1,Cpt-DV,1,"Sep 08, 2024",doesn't feel like easy medium problem
"minimum-absolute-difference
",10,8,Dont' put solutions in discussion,"Aug 11, 2023",3,bjhhar6475,4,"Jan 08, 2023","Sorting makes this so easy.
Tip:
1. Sort array
2. Iterate through the array and find minimum difference between adjacent integers(In sorted array minimum occurs only between adjacent integers).
3. Iterate again ,if two adjacent integers difference is equals to minimum difference then add them to list(list).(Since difference occurs between adjacent integers, result list will also contains adjacent integers of sorted array).Refer this Java solution for reference:
https://leetcode.com/problems/minimum-absolute-difference/solutions/3019044/java-easy-code-detailed-solution/"
"fraction-to-recurring-decimal
",2,1,"If you know about division and rational numbers you should know what repetition means.
In any case, you can always write a testcase and see what the expected output is.","Sep 20, 2023",3,BitBlaster,27,"May 17, 2020","There are a lot of ambiguities in this question that make it impossible to solve without guessing what is meant. Perhaps this is a good interview question, because you can see if the candidate will talk through the ambiguities, but it is not a good leetcode question because short of submitting solutions with my interpretations, and checking to see if they pass or fail, I have no way of knowing what is actually intended by the question.For example, how many digits of precision should I return? Should I truncate or round to get this precision? The question asks that I enclose a ""repeating part"" of the decimal in parantheses. Does that mean I put parantheses around any repetition - e.g. 0.661 should be 0.(6)1 because 6 repeated twice? Or just repetition that goes to the end of the length of my output string? Do I mark repeatign digits or repeating sequences?"
"most-frequent-even-element
",6,5,"sure, think of sorting the array.","Nov 16, 2024",0,The_King_of_Versailles,2,"Oct 12, 2024","Is there a way to approach this without the usage of Map ?
Thanks"
"count-of-smaller-numbers-after-self
",20,18,"I tried DP, realized that linear time is impossible, modified to a n*(logn) solution with binary search. It's not much but it's honest work!","Dec 22, 2023",1,chibi_chihiro,9,"Apr 04, 2021",What is the idea behind the merge sort? And how does someone come up with such solution when seeing this problem? I'm curious about the thinking process behind it.
"delete-nodes-from-linked-list-present-in-array
",110,109,"@cursed_archer What's wrong with a a bool vector of size 1e5 for a O(1) space solution? It's a data structure that is completely unaffected by the input size, thus not affecting space complexity at all.","Sep 06, 2024",0,E3FxGaming,0,"Sep 06, 2024",Can you solve it with O(N) time complexity and O(1) Space complexity (without extra mem)?
"car-fleet
",25,24,"Each car has the same speed and the positions are unique, so the answer must be 6 since no car will ever catch up to a car in front of it. While cars in positions 8,7,6 do arrive to the target in the first iteration, they do not arrive at the same time. An example where two cars become a single fleet as they reach the target would be: target = 5, position=[1,2], speed=[4,3]. The cars in this example become a single fleet right at the destination point because the car in position 1 catches up to the car in position 2 at the moment they both reach target.","Oct 15, 2023",5,NoahDoll,32,"Feb 04, 2023","This below use case:
target =10
position =[8,3,7,4,6,5]
speed =[4,4,4,4,4,4]I think the correct answer is 2, but their test case returns 6.This is the rule: If a car catches up to a car fleet right at the destination point, it will still be considered as one car fleet.8,7,6 arrive together at the first iteration , then the rest arrive in second iteration. How do they get 6?"
"score-of-a-string
",21,20,@vekp 😂😂,"Oct 07, 2024",0,Karan_Aggarwal,38,"Apr 14, 2024","Just to point out ""| x - y |"" means use absolute value. (turns negatives to positives) ...I wish my life had a Math.Abs() function."
"maximum-subarray-min-product
",3,1,"don't quite agree here , but again a good blend of concepts in one question.
might be difficult if not comfortable with monotonic stacks.","Mar 29, 2024",0,XRancher_1232,73,"May 10, 2021",I think it's harder than typical medium. anyone agrees?
"magnetic-force-between-two-balls
",35,33,"@sanyammahajan09 read problem again
if not then solve other problem like this(binary search on answer)
I used to skip these type of question , but after solving 3-4 question on this topic i can do in 1 pass easily","Jun 20, 2024",1,Iconic_RJ,125,"Jan 26, 2023","""Wabba lubba dubb duubb !!""
Rick Sanchez-(Earth C-137)"
"fair-distribution-of-cookies
",31,28,"Thank you, another problem was accepted.","Jul 01, 2023",1,AnywaySo,14,"Oct 13, 2022","This problem is the same as
1723. Find Minimum Time to Finish All Jobs"
"minimum-replacements-to-sort-the-array
",2,1,Because the writer was busy to interview with other companies (like us),"Nov 25, 2024",0,sulerhy,120,"Aug 30, 2023","as usual, useless example 2, what's the purpose of it? 😁"
"patching-array
",200,199,"[1,2] is already present as it's equivalent to [3] -- both sum to 3.","Jun 16, 2024",0,4onen,0,"Jun 16, 2024","Someone may have already pointed this out. But first example explanation is missing the combination [1, 2].
Now if we add/patch 2 to nums, the combinations are: [1], [2], [3], [1,3], [2,3], [1,2,3].This is pretty confusing since at a quick glance it implies we are summing subsets, not subsequences as there are only 5 subsets (excluding empty subset) in a list of size 3, while there are 6 subsequences (again excluding empty set)."
"number-of-flowers-in-full-bloom
",45,40,think about it,"Oct 11, 2023",0,123GJWEQ2,3,"Oct 11, 2023","After reading hint 1, the problem becomes easy.
But how does one come up with observation like this?"
"longest-subsequence-with-limited-sum
",152,147,Why do we have to sort as they are asking to check for the subsequence? Won't the order be changed?,"Dec 25, 2022",0,nikhil_25,0,"Dec 19, 2022",
"sliding-window-maximum
",283,281,@Bantydeni Thanks for your review .,"May 31, 2023",0,kumaramarjeet001,0,"May 30, 2023","passed 41 / 51 testcases passed
The case is 836 array elements are given, the expected array element are same as but there is mismatch in
result output and excpected output . Please help !int i = 0 ;
int j = 0 ;
// List for storing negative element
List maxArray = new ArrayList<>() ;
List ansArray = new ArrayList<>() ;"
"min-cost-to-connect-all-points
",105,104,esse hi nahi banti 1000 crore ki company bro!,"Sep 15, 2023",0,khaimekhush,0,"Sep 15, 2023",why editorial is locked everyday now
"sum-of-absolute-differences-in-a-sorted-array
",44,43,"@BalajiT2004 Length of the given Array , also i think it should be (n-i) rather than (n-1)","Nov 25, 2023",0,ArinGopalan,6,"Nov 25, 2023","(a-x) +(b-x)+...(z-x) is actually (a+b+...+z) - x*(n-1).
You can find the sum of all array in one traversal just once.
Replace x with the value of each a[i] and build your answer."
"cherry-pickup-ii
",139,138,You mean no path crossing?? If that is the case we just need to put an extra check on all the 9 possible combination and check if any of the column number of the first robot crossing the 2nd robot....✔,"Jun 15, 2024",0,Joy1654,0,"Feb 11, 2024",If you can solve this then the interviewer may ask to find the disjoint path of two robots (that do not intersects) with max number of cherries. Stay alert and remember it can be worse.So do you have this question aboved in an interview? (Does the interviewer ask for disjoints?)
"minimum-number-of-days-to-make-m-bouquets
",49,45,"Take a salute from me bro..
The test 91st test case caused integer overflow..","Jun 19, 2024",0,Dhruv66889,27,"Jul 06, 2023","Use if((long)m*k>n) return -1; instead of if(m*k>n) return -1; to avoid integer overflow.
Thank me later😊"
"minimum-penalty-for-a-shop
",4,1,"Next Target: 500
All the Best!","Aug 29, 2023",1,Slegendz,52,"Aug 29, 2023",200 questions completed :-)
"find-k-th-smallest-pair-distance
",25,24,"Answering for others : the search space is not apparent, you can find Kth largest element in a sorted array just by the index, you can find a number just less than equal to num in an array with a simple binary search - but for operating on pairs the search space would be of O(n
2
) elements which we cant do.","Aug 14, 2024",0,sarpalmadhav,31,"Oct 29, 2017","See several binary search for the answer approaches. They binary search the boundary of the distance: [0, longest distance]. Can anyone explain why the binary search result must be one of the distances of some pair ?"
"number-of-good-leaf-nodes-pairs
",260,258,Only manage to come up with O(N2) solution,"Jul 18, 2024",0,legiatuan1998,0,"Jul 18, 2024",This should be hard ...
"two-sum-ii-input-array-is-sorted
",69,66,two pointer approach,"Jan 30, 2023",0,adityadixit7054,3,"Apr 28, 2022",Is there some simple proof that it's impossible to get less than O(n)?
"rotate-string
",38,34,"Brillliant, man!","Feb 09, 2023",0,brutuss,13,"Jan 30, 2023","In java ::
Steps. : first compare the length of s and goal if not equals then return false. if the return is true then we can add s+s and then from that we need to get the substring if its avilable then return true else return false;solutions :::
https://leetcode.com/problems/rotate-string/submissions/888244223/"
"move-zeroes
",35,33,"But they said that relative order should not be changed. While moving elements, we unfollow that restriction.","Jun 12, 2024",1,chetanwandre2005,31,"Oct 26, 2023","Pseudocode:
[1]- Initialize a pointer 'left' to 0, and 'right' to the next element 1.
[2]- Iterate through the list using a 'right' pointer starting at 1 and moving to the right.
[3]- If the element at the 'left' pointer is non-zero, update 'left' to 'right' and continue to the next iteration.
[4]- If the element at the 'right' pointer is 0, continue to the next iteration without making any changes.
[5]- If the element at the 'right' pointer is non-zero, swap the elements at 'left' and 'right' to move the non-zero element to the 'left' position, then increment 'left'.
[6]- Continue this process for all elements in the list.
[7]- The function does not return anything but modifies the input list 'nums' in-place."
"sales-analysis-iii
",35,34,"for any future readers, the key word That made this incorrect is ""only"" sold between those dates. otherwise, this query would've been fine","Nov 25, 2024",0,mlafl,3,"Dec 07, 2020","Not sure why the following query is incorrect?
select distinct(s.product_id), p.product_namefrom Sales sleft join Product pon s.product_id= p.product_idwhere s.sale_date>='2019-01-01' and s.sale_date<='2019-03-31'"
"design-twitter
",24,23,"You do both, for a celebrity you rank the followers - basically like a LRU for very few celebrities and for the remaining bunch you update the news feed async.","Oct 22, 2023",0,naroju,29,"May 04, 2018","As you may know, there are 2 main approaches for this design:Which is better and why?I beleive that this is not an algorithmic/design problem this is a UX problem. Regardless of the actual complexities. Let's say that we have 2 users the first has 1M followers (people following him/her), let's call this user and the second user is following 1M other users and let's call this user ."
"minimum-time-to-complete-trips
",32,30,"Here is the Code Link for Reference :-
https://leetcode.com/problems/minimum-time-to-complete-trips/solutions/3266933/binarysearch-approach-explained-in-steps/","Mar 07, 2023",0,cOde_Ranvir25,11,"Mar 07, 2023","Here is an Approach Using Binary Search :-1.Initialize a lower bound lo to 1 and an upper bound hi to the maximum possible long value.2.Enter a loop that continues until the lower bound is greater than or equal to the upper bound.3.In each iteration of the loop, calculate the midpoint between the lower and upper bounds using the formula mid = lo + (hi - lo) / 2.4.Calculate the number of completed trips that can be made in the mid time using a for loop that iterates over each time in the time array."
"average-selling-price
",213,212,use and in place of where,"Aug 03, 2024",0,user3350jE,0,"Jul 05, 2024","select p.product_id, ifnull(round(sum(price*units)/sum(units),2),0) as average_price
from prices p
left join unitssold u on p.product_id = u.product_id
where purchase_date between start_date and end_date
group by product_idthis is giving error in 16th test case that i am not getting product_id with null purchases
but if i use left join with ifnull clause it should workCan someone please explain?"
"frog-jump
",14,10,"or one can store it in a map and use that only, instead of searching again and again in O(logn) you can once iterate throught the array then search in O(1)","Aug 27, 2023",10,Shubham_Raj22,17,"Aug 27, 2023","Again a DP problem. Since the array stones is ascending, one can use binary search to find the next jump"
"find-champion-ii
",34,33,@aayushmohite23 Arey SIR !🫡,"Nov 27, 2024",0,palashmahajan22,11,"Nov 26, 2024","If anyone does not know Kahn's algorithm, no worries, assume distance between each edge as 1 and use Dijkstra to find distance of each node from each node and then check if any node is unreachable from every node.
PS : This solution beats only 5 % 😂"
"maximum-sum-queries
",16,15,U can refer to my solution,"Jun 17, 2023",1,shahjainam961,0,"Jun 17, 2023","good ole 1404var maximumSumQueries = function(n1, n2, q) {
return q.reduce((a,c,i) => {
let k = n1.reduce((a2,c2,i2) => {
if(c2 >= c[0] && n2[i2] >= c[1]){
let num = c2 + n2[i2]
num > a2 && (a2 = num)
}
return a2
},0)
k == 0 ? a.push(-1) : a.push(k)
return a
},[])
}"
"path-sum-iii
",15,12,"Adding this testcase was just a dick move, after spending so much time understanding the solution","Aug 07, 2024",3,CaptainDeadpool,122,"Dec 06, 2022","For those who couldn't pass this test case.
[1000000000,1000000000,null,294967296,null,1000000000,null,1000000000,null,1000000000]
0
Just change it to long, bc it's integer overflow.
Check for more details:
https://leetcode.com/problems/path-sum-iii/solutions/2658840/java-pass-new-test-case-with-dfs-map-o-n/"
"path-crossing
",53,52,@shresth28 Means that I couldn' t wait to see the new jokes about the leetcode intern after solved a easy problem again :),"Dec 23, 2023",0,UserNameZ,2,"Dec 23, 2023",Daily question -> Daily check-in -> Daily intern joke
"remove-adjacent-almost-equal-characters
",22,21,@aanya_969 run from 1 till len-1,"Dec 09, 2023",0,directioner1d,0,"Dec 09, 2023",try greedy maintain previous ascii and each step check abs difference
"all-oone-data-structure
",127,126,"@sultanalif533 Quite Acceptable, but you are adding elements to a map and also calling functions recursively worst case of that is O(n), most of the submissions have similar time complexity","Sep 30, 2024",0,Morampudi_Gopi_Prashanth_Raju,0,"Sep 29, 2024",I'm sure O(1) makes no sense here
"maximum-points-after-enemy-battles
",67,66,maybe yes,"Jul 06, 2024",0,pranshul_777,0,"Jul 06, 2024",Am I the only one who returned int instead of long and got int overflows errors in hidden test cases. Wasted 35 min in the contest because of this and had to take the L.
"kth-smallest-element-in-a-sorted-matrix
",2,1,@ckvb18 yeah exactlyy,"Oct 29, 2024",0,kylehue,58,"Jun 02, 2023","The example test cases are not illustrative; it would be better if they included something like matrix=[[1,2],[1,3]] and k=2 here."
"delete-characters-to-make-fancy-string
",42,41,Me Too,"Nov 01, 2024",0,mohammed_asan,5,"Nov 01, 2024",I'm surprised I didnt see stack in the tags.
"single-number-iii
",2,1,"bro, you should write this blog editorial. thanks.","Jul 03, 2024",2,codersolanki,1.1K,"Sep 25, 2015","If you were stuck by this problem, it's easy to find a solution in the discussion. However, usually, the solution lacks some explanations.I'm sharing my understanding here:The two numbers that appear only once must differ at some bit, this is how we can distinguish between them. Otherwise, they will be one of the duplicate numbers.One important point is that by XORing all the numbers, we actually get the XOR of the two target numbers (because XORing two duplicate numbers always results in 0). Consider the XOR result of the two target numbers; if some bit of the XOR result is 1, it means that the two target numbers differ at that location."
"minimum-operations-to-form-subsequence-with-target-sum
",4,2,They heard you and channged it to hard ;),"Aug 27, 2023",2,Arshy_2807,16,"Aug 27, 2023",One of the hardest medium question ever seen on Leetcode!
"sliding-puzzle
",87,83,How did you calculate that there are 21 maximum steps possible?,"Nov 25, 2024",1,pavanpandya,3,"Nov 25, 2024","There are at max 21 steps to solve any of these puzzles.
The following testcases represent each of the step counts:"
"swim-in-rising-water
",22,20,excuse me?,"Feb 15, 2024",1,moyezr,28,"Aug 16, 2023","If anyone having trouble understanding the question :
Here we have to find the path which has lowest maximum cell value."
"minimized-maximum-of-products-distributed-to-any-store
",43,40,"is 'LC brain' a new term for ability to solve questions just because you have solved similar ones recently? If so, I love it, cuz that's what LC is about 😃😃","Nov 14, 2024",0,sarpalmadhav,15,"Nov 14, 2024",if not for LC brain (binary search for the past few problems) I might not have intuited it.
"leaf-similar-trees
",136,134,"@Mirshod because the ordering of the leaf nodes may not be the same for the two binary trees. The 2nd leaf might appear in the left half of the first tree, but might come in the 2nd half of the second tree. So, we should check the leaf nodes via depth, not breadth :)","Jan 09, 2024",0,Eaglesight02,0,"Jan 09, 2024",why can not this problem be solved using BFS?
"rotate-string
",245,244,"bruh this is no tip, its literally the solution. This is the discussion section. Stop posting solutions here.","Nov 03, 2024",0,gudesaisanjana,-2,"Mar 05, 2023","class Solution {
public boolean rotateString(String s, String goal) {}"
"number-of-senior-citizens
",13,12,have u ever seen a leetcode hard? before,"Aug 29, 2024",0,anirudhgv,42,"Aug 01, 2024",This should be leetcode hard :(
"water-bottles
",51,46,"You are essentially calculating the sum of the digits of numBottles in base numExchange.
I don't believe that can be done in less than O(log
m
n), where m = numExchange and n = numBottles.","Jul 07, 2024",0,glugglug,19,"Jul 07, 2024","There is an O(1) solution.
Have a nice weekend."
"find-valid-matrix-given-row-and-column-sums
",42,41,I first time solved all questions in contest and it got unrated :(,"Jul 21, 2024",0,Tejas3019,17,"Jul 20, 2024",A Nice Matrix week* Thanks Leetcode but don't you think that your'e cancelling the contests really quick??? Agreed?
"split-strings-by-separator
",20,16,"Same problem , got any solution please share","Aug 27, 2024",0,E_Sujit,0,"May 16, 2024",why String[] temp = s.split(String.valueOf(separator)); does not work in Java?
"average-selling-price
",43,40,@jargolastik gpt :D,"Jan 01, 2024",0,Muhammad_Latif,27,"Jul 13, 2023","Is this really an easy level task lol?
Used three CTE to solve it"
"make-sum-divisible-by-p
",88,87,"Yes, it is possible using the prefix sum memoization. Look into
https://leetcode.com/problems/subarray-sum-equals-k/description/
(premium :( ) https://leetcode.com/problems/maximum-size-subarray-sum-equals-k/description/","Oct 03, 2024",0,dsapelnikov,2,"Oct 03, 2024",Got the intuition that we need a subarray whose modulo residue with p is same as total sum of array . But could not find a way to search such subarray in O(n) time.
"string-compression
",500,499,"@PAIN_an_c Thanks, man! This comment really helped me to understand what this problem was all about.","Mar 02, 2023",0,olehn,0,"Jan 02, 2023",why is this answer wrong ??
"swap-nodes-in-pairs
",6,1,"@sufyankhot I think here is two problems in one: if you want this problem to be easy, swap the Values. If you want this problem to be medium, swap the Nodes!","Oct 08, 2024",0,IS_Koshi,230,"Jan 23, 2024","ffs stop bragging ""its easy it should be marked easy"". yeah def it is easy for you and me, but its def not easy for the ones who are just starting, they will lose their motivation by looking at your comments."
"monthly-transactions-i
",10,9,Pay attention everyone - 'Y' and not 'y'. 'y' will give you the last 2 digits of the year (instead of 4),"Sep 20, 2024",0,Hadarct,28,"Jul 18, 2023","Date_format() will help you truncate the date column to monthshttps://devdocs.io/mariadb/date_format/indexdate_format(trans_date, '%Y-%m')"
"find-the-duplicate-number
",312,311,Easy if you already know the answer. Otherwise its impossible to come up with slow - fast pointer on its own.,"Mar 24, 2024",1,PiyushRaj27,0,"Mar 24, 2024",probably the most easy one in this march leetcode challenge
"restore-the-array
",13,12,@kushalnagwanshicloud true,"Jun 19, 2024",0,pavansai66,8,"Apr 23, 2023",Is it wrong that I'm starting to like these tabulation problems?
"maximum-number-of-occurrences-of-a-substring
",9,8,"@sanket516
Key here is that yes we want to find a substring from min to max size
But the trick here is to recognize that if we have a minSize 3 and maxSize 5
We can identify that substring 3 will be in substring 4 and substring 5
Which means we only have to check the min size","Mar 24, 2024",1,bdb74,18,"Mar 23, 2023",Second rule should be 'The substring size must be minSize'. The only thing medium about this question is having to figure out how useless maxSize is.
"contains-duplicate-iii
",13,10,"because it is not just equals to, its equals to and less than for both the valueDiff and the indexDiff","May 24, 2023",3,sifisom599,18,"Sep 12, 2019","nums = [1,0,1,1], k = 1, t = 2.
Why result is true?"
"vowels-of-all-substrings
",3,2,The same as the point for asking almost any other problem in Algorithm section. To check how a person can think and solve a problem.,"Jun 26, 2023",5,nekrand,8,"Nov 07, 2021",What is the point for asking these kind of question??
"maximum-number-of-words-found-in-sentences
",22,21,"@WooHyeon Hwang It is irrelevant with such a small input constraint in which both solutions have a T.C of O(N), nothing related with how the code is structured.","Sep 28, 2024",0,ejini6969,0,"Mar 19, 2024","Why is the solution that separates the logic into the mostWordsFound function and other functions faster than mostWordsFound function alone???
use java..."
"find-the-duplicate-number
",99,97,"@1234567s i think you would have to sort first which would align with the listed O(nlogn) time complexity vs O(logn) for binary search, but they listed the input array as being unmodified so i'm not sure what they were cookin","May 22, 2024",0,JacobNickerson,11,"Mar 24, 2024","Let me know if i missed any algorithm
Analysis of algorithms:"
"sign-of-the-product-of-an-array
",32,31,Bro don't multiply everything just check no. of elements that are negative and check if no. of negative elements in an array is even or odd then you can 1 or -1 and also check if the element is 0 then return 0 immediately,"Mar 24, 2023",0,eakesh_07,3,"Dec 27, 2022","This is normal way to find it run each and every Testcase :
I runed it on : [9,72,34,29,-49,-22,-77,-17,-66,-75,-44,-30,-24]
: [41,65,14,80,20,10,55,58,24,56,28,86,96,10,3,84,4,41,13,32,42,43,83,78,82,70,15,-41]
they successfully work.so, Here I did to find length and create a loop until n-1
and I taken a variable with double datatype because Data can be huse after multiply.
class Solution {
public int arraySign(int[] nums) {
int n = nums.length;
double pro = 1;
for(int i=0; i<n; i++){
pro *= nums[i];
}
if(pro>0){
return 1;
}
else if(pro<0){
return -1;
}
return 0;
}
}"
"minimum-number-of-operations-to-make-array-empty
",63,62,its because the number of 14 is 10 aim is to minimize it then as per your solution 10%2==0 then 10/2 =5 and 12 is 9 9/3 = 3 so 5+3=8 but if u look carefully 14 can be in 6 + 4 so 2 + 2 = 4 and same for 9 i.e 3 4+3 = 7,"Jan 04, 2024",0,ayush_raj6,3,"Jan 04, 2024","confused
nums = [14,12,14,14,12,14,14,12,12,12,12,14,14,12,14,14,14,12,12]
output: 8
expected: 7"
"fizz-buzz
",44,43,"The description explicitly says: > string array answer (1-indexed)
which highlight ""1-indexed"" .
Maybe to avoid confusion with 0%3 and 0%5 , maybe because some questions at LC is using index 1 explicitly for answers (I'm not sure - I'm not into solving LC).","May 02, 2023",1,ducquoc,2,"Feb 16, 2023","The problem ask for this:
answer[i] == i (as a string) if none of the above conditions are true.But the example doesn't return that:
Output: [""1"",""2"",""Fizz""]It return 1 for index 0. Why is that?"
"greatest-common-divisor-traversal
",108,106,"gcd(4, 12) = 4
gcd(12, 3) = 3
4 -> 12 -> 3","Feb 25, 2024",0,playwmadness,0,"Feb 25, 2024",For example 3 how is it possible we can traverse 4 --> 3? Isn't the GCD 1? or 3 --> 8 also similarly the GCD is 1?
"out-of-boundary-paths
",132,131,"Hi @Alex mercer Would you please watch this video and see if it's understandbale?
Thankss","Jan 26, 2024",0,LearnWithEmKay,0,"Jan 26, 2024",OMG these recent mediums are HARD for MEEEEEEE cant pass all test cases
"grumpy-bookstore-owner
",11,7,"Hey dude @lebon, thanks for such an interesting intuition , btw I solved it in 2023 and at that time I think this question description was much more terrific . I am solving it now and I found it to be a fixed sliding window just by looking at it. Solving it again because ""You know just for the sake of a badge : ) "". Just kidding , great day ahead man !!","Jun 21, 2024",2,datalinx,152,"Oct 10, 2023",Explanation is poor as hell !!!
"find-the-sum-of-subsequence-powers
",27,25,It's tricky to optimize,"Mar 30, 2024",0,adarsh_20_03,0,"Mar 30, 2024",it looks like pick and not pick problem why the Acceptance Rate is too low ??
"find-the-minimum-and-maximum-number-of-nodes-between-critical-points
",72,71,"@olzh06 you're correct, my god why didn't i see it 🤦","Jul 06, 2024",0,hisyamsk,1,"Jul 05, 2024","The test case [5,3,1,2,5,1,2.1,5,4,4,4,3,4,2,1] returned an empty expected output and causes all other test cases to fail when run. Anyone experiencing this or it's just me?"
"create-a-dataframe-from-list
",2,1,on top menu,"Jan 22, 2024",0,hui23,10,"Oct 23, 2023",How to submit?
"power-of-two
",105,104,I don't know how to make code have color in the discussion section,"Jul 06, 2024",0,py_user123,0,"Jul 06, 2024","This is a ""1-liner"" of python3.I just did the dumbest way possible. Since n is limited by n**32 - 1, so I just solved it by typing every possible case.
This is time complexity O(1), since there is no loop in this code.class Solution: def isPowerOfTwo(self, n: int) -> bool: return n == 2**0 or n == 2**1 or n == 2**2 or n == 2**3 or n == 2**4 or n == 2**5 or n == 2**6 or n == 2**7 or n == 2**8 or n == 2**9 or n == 2**10 or n == 2**11 or n == 2**12 or n == 2**13 or n == 2**14 or n == 2**15 or n == 2**16 or n == 2**17 or n == 2**18 or n == 2**19 or n == 2**20 or n == 2**21 or n == 2**22 or n == 2**23 or n == 2**24 or n == 2**25 or n == 2**26 or n == 2**27 or n == 2**28 or n == 2**29 or n == 2**30 or n == 2**31 or n== 2**32 - 1"
"non-decreasing-subsequences
",18,16,My solution is not being accepted for the same. I can't figure out what I am doing wrong.,"Jan 20, 2023",3,gauraVSomani,5,"Mar 13, 2017","When I run my code(accepted) using [1,2,3,8,9,10,1,1,1,1,1] as test case, it doesn't match the given expected answer, but it's still accepted. Is anybody had the same situation?"
"max-dot-product-of-two-subsequences
",96,94,"116 is the max dot product of the subsequence?
and the subsequence should be [-3,-8,3,-10] [-9,-8,5,-1] ?","Oct 08, 2023",0,omkarshendge619,0,"Oct 08, 2023","[-3,-8,3,-10,1,3,9]
[9,2,3,7,-9,1,-8,5,-1,-1]Extra test case , Check before submitting ."
